order_id,customer_id,product_id,quantity,price,order_date,weather,temp,humidity
2334,5,40,3,35.6,2022-06-21,Clouds,289.95,63
6588,5,26,1,15.87,2022-10-23,Clouds,289.95,63
3569,5,47,9,19.35,2023-05-25,Clouds,289.95,63
5200,5,50,6,82.12,2023-02-28,Clouds,289.95,63
1589,5,10,1,96.94,2023-01-05,Clouds,289.95,63
1131,5,28,10,87.52,2022-07-02,Clouds,289.95,63
6998,5,23,4,84.19,2023-02-15,Clouds,289.95,63
6946,5,47,9,53.75,2023-02-11,Clouds,289.95,63
4683,5,33,7,58.24,2022-12-07,Clouds,289.95,63
7968,5,47,1,21.08,2023-02-25,Clouds,289.95,63
7506,5,22,2,61.08,2023-04-23,Clouds,289.95,63
2335,5,34,10,54.98,2023-01-11,Clouds,289.95,63
5870,5,41,8,29.89,2023-01-24,Clouds,289.95,63
6105,5,47,2,44.45,2023-03-07,Clouds,289.95,63
5862,5,14,2,29.35,2022-12-12,Clouds,289.95,63
8426,5,35,6,33.38,2023-05-18,Clouds,289.95,63
8879,5,23,3,14.41,2022-11-13,Clouds,289.95,63
3214,5,34,8,17.92,2023-04-03,Clouds,289.95,63
5215,5,10,5,64.85,2022-06-20,Clouds,289.95,63
3602,5,26,10,50.25,2022-12-08,Clouds,289.95,63
3738,5,21,3,44.33,2023-02-21,Clouds,289.95,63
6518,5,10,3,84.88,2022-11-21,Clouds,289.95,63
1790,5,30,3,71.28,2022-09-28,Clouds,289.95,63
3139,5,1,6,37.99,2023-03-27,Clouds,289.95,63
7004,5,1,8,12.96,2022-08-29,Clouds,289.95,63
7118,5,25,1,76.14,2022-12-06,Clouds,289.95,63
5307,5,3,7,51.98,2022-09-01,Clouds,289.95,63
8310,5,37,10,79.35,2023-02-07,Clouds,289.95,63
1896,5,42,4,40.66,2022-12-12,Clouds,289.95,63
5476,5,40,4,37.82,2022-10-16,Clouds,289.95,63
8154,5,18,7,61.47,2023-02-23,Clouds,289.95,63
2190,5,5,1,89.76,2022-06-01,Clouds,289.95,63
5728,5,25,6,70.41,2022-11-15,Clouds,289.95,63
6386,5,11,4,64.17,2023-04-28,Clouds,289.95,63
9495,5,40,1,50.55,2022-12-27,Clouds,289.95,63
3524,5,48,1,60.63,2022-10-28,Clouds,289.95,63
2684,5,41,3,20.41,2022-09-19,Clouds,289.95,63
9557,5,14,7,67.62,2023-04-15,Clouds,289.95,63
2045,5,17,4,81.85,2022-11-01,Clouds,289.95,63
9085,5,15,1,66.31,2022-10-15,Clouds,289.95,63
2067,5,20,9,94.1,2022-11-24,Clouds,289.95,63
6096,5,31,7,63.27,2022-08-21,Clouds,289.95,63
4075,5,19,4,71.17,2023-03-20,Clouds,289.95,63
3994,5,48,6,63.09,2023-02-07,Clouds,289.95,63
1973,5,27,9,71.51,2022-06-18,Clouds,289.95,63
5800,5,9,3,14.62,2022-12-01,Clouds,289.95,63
4339,5,12,10,83.4,2023-04-21,Clouds,289.95,63
1013,5,30,8,47.12,2022-12-16,Clouds,289.95,63
1030,5,2,5,91.05,2022-09-27,Clouds,289.95,63
3805,5,13,8,12.43,2023-01-04,Clouds,289.95,63
1549,5,14,9,71.57,2022-09-03,Clouds,289.95,63
5199,5,41,8,72.3,2022-12-24,Clouds,289.95,63
1696,5,5,4,34.65,2022-08-23,Clouds,289.95,63
3862,5,50,9,16.12,2022-10-14,Clouds,289.95,63
6224,5,28,1,67.03,2022-10-11,Clouds,289.95,63
7785,5,33,7,49.97,2022-09-11,Clouds,289.95,63
8265,5,36,6,92.18,2023-01-13,Clouds,289.95,63
7981,5,15,5,75.46,2022-07-19,Clouds,289.95,63
8816,5,11,7,35.2,2022-10-28,Clouds,289.95,63
1127,5,7,2,76.68,2022-09-18,Clouds,289.95,63
3237,5,18,6,63.38,2022-09-22,Clouds,289.95,63
3867,5,41,1,39.51,2022-11-18,Clouds,289.95,63
6321,5,49,5,99.75,2022-09-14,Clouds,289.95,63
2038,5,16,3,32.14,2023-04-14,Clouds,289.95,63
